"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=57&matchBoolean%3Dtrue%26rowsPerPage%3D50%26searchField%3DSearch_All%26queryText%3D%28%28%28%28%28static%29+AND+code%29+AND+analysis%29+AND+software%29+AND+visualization%29",2014/10/23 18:15:41
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"Dynamic component program visualization","Martin, L.; Giesl, A.; Martin, J.","Dept. of Comput. Sci., Darmstadt Univ. of Technol., Germany","Reverse Engineering, 2002. Proceedings. Ninth Working Conference on","2002","2002","","","289","298","Dynamic program visualization, i.e. the visualization of the runtime behavior of a program as opposed to the static structure of its source code has been investigated for various kinds of programs, usually on a fairly low level. The focus has been on control flow in procedural programs or on the communication between objects in object-oriented programs. In this paper we explore the usefulness of dynamic program visualization for component programs. We discuss how to visualize component-programs and motivate the need for a proper visualization of the communication among these components. We present a three dimensional visualization and show the integration into the HOTAGENT component development environment.","1095-1350","0-7695-1799-4","","10.1109/WCRE.2002.1173086","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1173086","","Application software;Buildings;Communication system control;Computer science;Data visualization;Formal verification;Information analysis;Maintenance;Runtime;Unified modeling language","object-oriented programming;program diagnostics;program visualisation","Dynamic program visualization;HOTAGENT;component development environment;component programs;control flow;program visualization;runtime behavior","","","","3","","","","","20030129","","IEEE","","IEEE Conference Publications"
"Complexity-Aware Adaptive Preprocessing Scheme for Region-of-Interest Spatial Scalable Video Coding","Grois, D.; Hadar, O.","Commun. Syst. Eng. Dept., Ben-Gurion Univ. of the Negev, Beer-Sheva, Israel","Circuits and Systems for Video Technology, IEEE Transactions on","June 2014","2014","24","6","1025","1039","This paper presents a complexity-aware adaptive spatial preprocessing scheme for the efficient scalable video coding (SVC) by employing an adaptive prefilter for each SVC layer. According to the presented scheme, a dynamic transition region is defined between the region of interest (ROI) and background within each video frame, and then various parameters of each prefilter (such as the standard deviation, kernel matrix size, and also a number of filters for the dynamic preprocessing of a transition region between the ROI and the background) are adaptively varied. The presented scheme has proved to be very efficient because it is based on an SVC computational complexity-rate-distortion analysis, thereby adding a complexity dimension to the conventional SVC rate-distortion analysis. As a result, the encoding computational complexity resources are significantly reduced, which is especially useful for portable encoders with limited power resources. The performance of the presented adaptive spatial preprocessing scheme is evaluated and tested in detail from both computational complexity and visual presentation quality points of view, further comparing it with the joint scalable video model reference software (JSVM 9.19) and demonstrating significant improvements.","1051-8215","","","10.1109/TCSVT.2014.2302557","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6727577","High-quality visual presentation;ROI scalability;Regions-of-interest (ROI) video coding;Scalable Video Coding (SVC);high-quality visual presentation;image or video coding;image/video coding;pre-processing/pre-filtering;preprocessing or prefiltering;regions of interest (ROI) video coding;scalable video coding (SVC)","Computational complexity;Encoding;Scalability;Standards;Static VAr compensators;Video coding;Visualization","adaptive filters;computational complexity;rate distortion theory;video codecs;video coding","JSVM 9.19;SVC computational complexity;SVC layer;SVC rate-distortion analysis;adaptive prefilter;adaptive spatial preprocessing scheme;complexity-aware adaptive preprocessing scheme;computational complexity resources;dynamic transition region;joint scalable video model reference software;portable encoders;region-of-interest;scalable video coding;video frame;visual presentation quality","","","","0","","","","2014-01-28","20140602","","IEEE","IEEE Circuits and Systems Society","IEEE Journals & Magazines"
"Complexity-aware adaptive bit-rate control with dynamic ROI pre-processing for scalable video coding","Grois, D.; Hadar, O.","Comm. Syst. Eng., Ben-Gurion Univ. of the Negev, Beer-Sheva, Israel","Multimedia and Expo (ICME), 2011 IEEE International Conference on","11-15 July 2011","2011","","","1","4","We present a novel efficient complexity-aware adaptive bit rate control with dynamic Region-of-Interest pre-processing (pre-filtering) for the Scalable Video Coding (SVC), which is an extension of H.264/AVC. According to the proposed approach, we adaptively vary various parameters of the SVC pre-filters, such as standard deviations and a number of filters for the dynamic pre-processing of a transition region between the ROI and background, thereby enabling to dynamically adjust the desired SVC settings. Our adaptive bit-rate control is based on an SVC computational complexity-rate-distortion (C R-D) analysis, thereby adding a complexity dimension to the conventional Region-of-Interest SVC rate-distortion analysis. As a result, the ROI SVC visual presentation quality is significantly improved, which can be especially useful for various resource-limited devices, such as mobile devices. The performance of the presented adaptive ROI SVC pre processing scheme is evaluated and tested in detail, further comparing it to the Joint Scalable Video Model reference software (JSVM 9.19) and demonstrating significant improvements both in quality and bit-rate.","1945-7871","978-1-61284-348-3","978-1-61284-349-0","10.1109/ICME.2011.6012110","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6012110","H.264/AVC;Regions-of-interest scalability;Regions-of-interest video coding;Scalable Video Coding;bit-rate control;high-quality visual presentation;image/video coding;pre-processing/pre-filtering","Computational complexity;Encoding;Scalability;Static VAr compensators;Video coding;Video sequences;Visualization","computational complexity;filtering theory;rate distortion theory;video coding","H.264/AVC;adaptive bit-rate control;computational complexity;dynamic region-of-interest pre-processing;rate-distortion analysis;scalable video coding;transition region","","","","1","","10","","","20110905","","IEEE","","IEEE Conference Publications"
"Empirical investigation of SEA-based dependence cluster properties","Beszedes, A.; Schrettner, L.; Csaba, B.; Gergely, T.; Jasz, J.; Gyimothy, T.","Dept. of Software Eng., Univ. of Szeged, Szeged, Hungary","Source Code Analysis and Manipulation (SCAM), 2013 IEEE 13th International Working Conference on","22-23 Sept. 2013","2013","","","1","10","Dependence clusters are (maximal) groups of source code entities that each depend on the other according to some dependence relation. Such clusters are generally seen as detrimental to many software engineering activities, but their formation and overall structure are not well understood yet. In a set of subject programs from moderate to large sizes, we observed frequent occurrence of dependence clusters using Static Execute After (SEA) dependences (SEA is a conservative yet efficiently computable dependence relation on program procedures). We identified potential linchpins inside the clusters; these are procedures that can primarily be made responsible for keeping the cluster together. Furthermore, we found that as the size of the system increases, it is more likely that multiple procedures are jointly responsible as sets of linchpins. We also give a heuristic method based on structural metrics for locating possible linchpins as their exact identification is unfeasible in practice, and presently there are no better ways than the brute-force method. We defined novel metrics and comparison methods to be able to demonstrate clusters of different sizes in programs.","","","","10.1109/SCAM.2013.6648178","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6648178","Source code dependence analysis;Static Execute After;dependence clusters;linchpins and linchpin sets","Complexity theory;Conferences;Sea measurements;Software;Software engineering;Visualization","pattern clustering;software engineering;source coding","SEA-based dependence cluster properties;brute-force method;computable dependence relation;dependence relation;linchpin identification;linchpin sets;program procedures;software engineering activities;source code entities;static execute after dependences;structural metrics","","","","1","","20","","","20131028","","IEEE","","IEEE Conference Publications"
"Feature identification: a novel approach and a case study","Antoniol, G.; Gueheneuc, Y.-G.","RCOST, Univ. of Sannio, Italy","Software Maintenance, 2005. ICSM'05. Proceedings of the 21st IEEE International Conference on","26-29 Sept. 2005","2005","","","357","366","Feature identification is a well-known technique to identify subsets of a program source code activated when exercising a functionality. Several approaches have been proposed to identify features. We present an approach to feature identification and comparison for large object-oriented multi-threaded programs using both static and dynamic data. We use processor emulation, knowledge filtering, and probabilistic ranking to overcome the difficulties of collecting dynamic data, i.e., imprecision and noise. We use model transformations to compare and to visualise identified features. We compare our approach with a naive approach and a concept analysis-based approach using a case study on a real-life large object-oriented multi-threaded program, Mozilla, to show the advantages of our approach. We also use the case study to compare processor emulation with statistical profiling.","1063-6773","0-7695-2368-4","","10.1109/ICSM.2005.48","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1510131","Program understanding;dynamic and static analyses;feature analysis;meta-modelling","Computer aided software engineering;Data structures;Emulation;Filtering;Object oriented modeling;Performance analysis;Software maintenance;Software performance;Uniform resource locators;Visualization","multi-threading;object-oriented programming;program diagnostics;program visualisation","Mozilla;concept analysis-based approach;feature identification;knowledge filtering;model transformations;object-oriented multithreaded programs;probabilistic ranking;processor emulation;program source code identification;statistical profiling","","","","24","","23","","","20051121","","IEEE","","IEEE Conference Publications"
"Identifying program, test, and environmental changes that affect behaviour","Holmes, R.; Notkin, D.","Sch. of Comput. Sci., Univ. of Waterloo, Waterloo, ON, Canada","Software Engineering (ICSE), 2011 33rd International Conference on","21-28 May 2011","2011","","","371","380","Developers evolve a software system by changing the program source code, by modifying its context by updating libraries or changing its configuration, and by improving its test suite. Any of these changes can cause differences in program behaviour. In general, program paths may appear or disappear between executions of two subsequent versions of a system. Some of these behavioural differences are expected by a developer; for example, executing new program paths is often precisely what is intended when adding a new test. Other behavioural differences may or may not be expected or benign. For example, changing an XML configuration file may cause a previously-executed path to disappear, which may or may not be expected and could be problematic. Furthermore, the degree to which a behavioural change might be problematic may only become apparent over time as the new behaviour interacts with other changes. We present an approach to identify specific program call dependencies where the programmer's changes to the program source code, its tests, or its environment are not apparent in the system's behaviour, or vice versa. Using a static and a dynamic call graph from each of two program versions, we partition dependencies based on their presence in each of the four graphs. Particular partitions contain dependencies that help a programmer develop insights about often subtle behavioural changes.","0270-5257","978-1-4503-0445-0","978-1-4503-0445-0","10.1145/1985793.1985844","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032476","comparative analyses;dynamic impact analysis;software behaviour;static analysis","Approximation methods;Data visualization;Educational institutions;Focusing;Libraries;Prototypes;Runtime","directed graphs;program diagnostics","configuration changing;context modification;dynamic call graph;environmental change;library updating;program behaviour;program call dependencies;program identification;program source code;static call graph;test identification","","","","4","","","","","20111010","","IEEE","","IEEE Conference Publications"
"SIP: A Simple Tool for Inspecting and Evaluating WSDL Specifications","Beron, M.; Montejano, G.; Riesco, D.; Henriques, P.R.; Debnath, N.","Inf. Technol. Dept., Univ. Nac. de San Luis, San Luis, Argentina","Information Technology: New Generations (ITNG), 2013 Tenth International Conference on","15-17 April 2013","2013","","","14","19","Understanding a web application is not a simple task. It implies being available to interpret both their descriptions and several systems that really implement the web services. This interpreting process gathers much information and this information must be properly shown for simplifying the understanding. The descriptions of web services are an important starting point to begin to comprehend a web services. They are significant because they offer hints about the web services complexity. The web services complexity can be measured at high level abstraction considering the number of: Services, Ports, Operations, Bindings, etc. In order to carry out the task previously mentioned, the source code of web service description must be analyzed and the information must be properly displayed to the user. In this paper SIP, a Simple Inspection Tool, is described. SIP applies compilation techniques for extracting information from web services and then it computes a set of simple metrics. These metrics are used for providing an idea about web service complexity from its description. Furthermore, SIP generates visualizations based on charts, texts and source codes to help to comprehend WSDL descriptions.","","978-0-7695-4967-5","","10.1109/ITNG.2013.10","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6614282","Metric;Static Analysis;WSDL;Web Services","Complexity theory;Inspection;Measurement;Ports (Computers);Visualization;Web services;XML","Web services;computational complexity;formal specification;information retrieval;program compilers;program visualisation;software metrics;source coding;specification languages;text analysis","SIP;WSDL specification evaluation;WSDL specification inspection;Web service complexity measure;chart;compilation technique;information extraction;simple inspection tool;simple metrics;source code;text analysis;visualization generation","","","","0","","20","","","20130930","","IEEE","","IEEE Conference Publications"
"Fault Localization for Null Pointer Exception Based on Stack Trace and Program Slicing","Shujuan Jiang; Wei Li; Haiyang Li; Yanmei Zhang; Hongchang Zhang; Yingqi Liu","Sch. of Comput. Sci. & Technol., China Univ. of Min. & Technol., Xuzhou, China","Quality Software (QSIC), 2012 12th International Conference on","27-29 Aug. 2012","2012","","","9","12","Null pointer exception is a commonly occurring error in Java programs, and many static analysis tools can identify such errors. However, most of existing tools are pure static analysis and suffer from the common problems of the pure static approaches. In this paper, we present a new approach for identifying null dereferences by combining the dynamically generated information (from the stack trace) with the static analysis. Starting at a dereference statement, where the null pointer exception occurred, our approach performs a backward program slicing guided by the stack trace. Then it performs the null identifying analysis and alias analysis on the sliced program. The approach also visualizes the analysis results and the related source codes. Finally, the paper also presents an implementation of the null pointer exception analysis. The results show the advantage of our approach for locating null pointer exception.","1550-6002","978-1-4673-2857-9","","10.1109/QSIC.2012.36","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6319219","fault localization;null pointer exception;program slicing;stack trace","Accuracy;Algorithm design and analysis;Java;Runtime;Software algorithms;Visualization","Java;program slicing;software fault tolerance","Java programs;alias analysis;dereference statement;fault localization;null pointer exception;program slicing;stack trace;static analysis tools","","","","1","","12","","","20121004","","IEEE","","IEEE Conference Publications"
"Chava: reverse engineering and tracking of Java applets","Korn, J.; Yih-Farn Chen; Koutsofios, E.","Dept. of Comput. Sci., Princeton Univ., NJ, USA","Reverse Engineering, 1999. Proceedings. Sixth Working Conference on","6-8 Oct 1999","1999","","","314","325","Java applets have been used increasingly on Web sites to perform client-side processing and provide dynamic content. While many Web site analysis tools are available, their focus has been on static HTML content and most ignore applet code completely. The paper presents Chava, a system that analyzes and tracks changes in Java applets. The tool extracts information from applet code about classes, methods, fields and their relationships into a relational database. Supplementary checksum information in the database is used to detect changes in two versions of a Java applet. Given our Java data model, a suite of programs that query, visualize, and analyze the structural information were generated automatically from CIAO, a retargetable reverse engineering system. Chava is able to process either Java source files or compiled class files, making it possible to analyze remote applets, whose source code is unavailable. The information can be combined with HTML analysis tools to track both the static and dynamic content of many Web sites. The paper presents our data model for Java and describes the implementation of Chava. Advanced reverse engineering tasks such as reachability analysis, clustering, and program differencing can be built on top of Chava to support design recovery and selective regression testing. In particular, we show how Chava is used to compare several Java Development Kit (JDK) versions to help spot changes that might impact Java developers. Performance numbers indicate that the tool scales well","","0-7695-0303-9","","10.1109/WCRE.1999.806970","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=806970","","Data mining;Data models;Data visualization;HTML;Information analysis;Java;Reachability analysis;Relational databases;Reverse engineering;Visual databases","Java;distributed programming;hypermedia markup languages;information resources;reachability analysis;relational databases;reverse engineering;software maintenance;software tools","CIAO;Chava;HTML analysis tools;Java Development Kit versions;Java applet tracking;Java data model;Java developers;Java source files;Web site analysis tools;Web sites;applet code;client-side processing;clustering;compiled class files;design recovery;dynamic content;program differencing;reachability analysis;relational database;retargetable reverse engineering system;reverse engineering tasks;selective regression testing;static HTML content;structural information;supplementary checksum information","","","","13","","30","","","20020806","06 Oct 1999-08 Oct 1999","IEEE","","IEEE Conference Publications"
"Empirical Study about Using aiT Tool in WCET Estimation","Starke, R.A.; de Oliveira, R.S.","Dept. of Autom. & Syst., Fed. Univ. of Santa Catarina, Florianopolis, Brazil","Computing System Engineering (SBESC), 2011 Brazilian Symposium on","7-11 Nov. 2011","2011","","","86","89","The determination of upper bounds of execution time (Worst-Case Execution Time -- WCET) of tasks is an importantstep in the development and validation of safety-critical hard real-time systems. Measurement based methods arenot considered safe and the static code analysis is know to be a difficult problem if the underling processorarchitecture uses cache memories, pipelines and speculative components. This article presents an empiric study ofthe aiT WCET tool, considered one of the best. There is a tool description, its methods and some analyzed testcode for the ARM7 processor.","","978-1-4673-0427-6","","10.1109/SBESC.2011.42","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6114835","ARM7;Worst-Case Execution Time -- WCET;aiT","Arrays;Ash;Clocks;Pipelines;Real time systems;Visualization","cache storage;multiprocessing systems;pipeline processing;program diagnostics;program testing;reduced instruction set computing;safety-critical software","ARM7 processor;EMPIRICAL STUDY;WCET estimation;aiT WCET tool;cache memories;pipelines;processor architecture;safety-critical hard real-time system development;safety-critical hard real-time system validation;speculative components;static code analysis;worst-case execution time","","","","0","","7","","","20111229","","IEEE","","IEEE Conference Publications"
"Mosaic based representations of video sequences and their applications","Irani, M.; Anandan, P.; Hsu, S.","David Sarnoff Res. Center, Princeton, NJ, USA","Computer Vision, 1995. Proceedings., Fifth International Conference on","20-23 Jun 1995","1995","","","605","611","Recently, there has been a growing interest in the use of mosaic images to represent the information contained in video sequences. The paper systematically investigates how to go beyond thinking of the mosaic simply as a visualization device, but rather as a basis for efficient representation of video sequences. We describe two different types of mosaics called the static and the dynamic mosaic that are suitable for different needs and scenarios. We discuss a series of extensions to these basic mosaics to provide representations at multiple spatial and temporal resolutions and to handle 3D scene information. We describe techniques for the basic elements of the mosaic construction process, namely alignment, integration, and residual analysis. We describe several applications of mosaic representations including video compression, enhancement, enhanced visualization, and other applications in video indexing, search, and manipulation","","0-8186-7042-8","","10.1109/ICCV.1995.466883","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=466883","","Indexing;Information resources;Layout;Software libraries;Spatial resolution;Taxonomy;Tires;Video compression;Video sequences;Visualization","data compression;image coding;image representation;image sequences;video signal processing","3D scene information;dynamic mosaic;mosaic based representations;mosaic construction process;mosaic images;residual analysis;temporal resolutions;video compression;video indexing;video sequences;visualization device","","","","85","27","13","","","20020806","20 Jun 1995-23 Jun 1995","IEEE","","IEEE Conference Publications"
"Source animation as a means of program comprehension for object-oriented systems","Sneed, H.M.","Arget, Germany","Program Comprehension, 2000. Proceedings. IWPC 2000. 8th International Workshop on","2000","2000","","","179","187","Object oriented systems are particularly difficult to comprehend because of the distribution of functionality and polymorphism which limits the effectiveness of conventional static analysis methods. The paper proposes a dynamic analysis approach using animation to simulate the use cases in a financial application system. The objective is to offer maintenance programmers a means of familiarizing themselves with complex C++ code while at the same time validating the correctness of the code. For this purpose, control flow slicing and concept lattices are used","1092-8138","0-7695-0656-9","","10.1109/WPC.2000.852492","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=852492","","Analytical models;Animation;Assembly;Delay;Dynamic programming;Lattices;Object oriented modeling;Object oriented programming;Programming profession;Runtime","C++ language;computer animation;financial data processing;object-oriented programming;program verification;program visualisation;reverse engineering;software maintenance","complex C++ code;concept lattices;control flow slicing;conventional static analysis methods;correctness validation;dynamic analysis approach;financial application system;maintenance programmers;object oriented systems;polymorphism;program comprehension;source animation;use case simulation","","","","0","","24","","","20020806","10 Jun 2000-11 Jun 2000","IEEE","","IEEE Conference Publications"
"eFlowMining: An Exception-Flow Analysis Tool for .NET Applications","Garcia, I.; Cacho, N.","Dept. de Eng. de Producao, Fed. Univ. of Rio Grande do Norte, Natal, Brazil","Dependable Computing Workshops (LADCW), 2011 Fifth Latin-American Symposium on","25-29 April 2011","2011","","","1","8","In this paper, we present a exception-flow analysis tool, called eFlow Mining, that automates the process of gathering and visualizing exception-handling constructs in multi-programming languages. More specifically, the current version of eFlow Mining focuses on code written using the .NET framework to help developers in inspecting applications either to improve them or to understand their exception handling behavior. eFlow Mining extracts metrics and information about the exception flows in. NET applications, providing different views of the exception handling. For instance, an Evolution View allows developers to visualize the behavior of multiple metrics over the application history. Use of this tool on five. NET applications demonstrates that the tool can be helpful to support developers building and evolving applications with appropriate error-handling strategies.","","978-1-4577-0194-8","978-0-7695-4394-9","10.1109/LADCW.2011.18","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5773431","Exception Handling;Software Evolution;Static Analysis","Computer languages;Documentation;History;Libraries;Measurement;Runtime;Software","data flow analysis;exception handling;network operating systems;program visualisation;programming languages;software maintenance",".NET application;Evolution View;behavior visualization;eFlowMining;error-handling strategy;exception handling behavior;exception-flow analysis tool;multiprogramming language;software evolution;static analysis","","","","3","","26","","","20110527","","IEEE","","IEEE Conference Publications"
"Automatic Conceptual Analysis of User Requirements with the Requirements Engineering Assistance Diagnostic (READ) Tool","Seresht, S.M.; Ormandjieva, O.; Sabra, S.","Comput. Sci. & Software Eng. Dept., Concordia Univ., Montreal, QC","Software Engineering Research, Management and Applications, 2008. SERA '08. Sixth International Conference on","20-22 Aug. 2008","2008","","","133","142","This paper describes an elaborate methodology that constitutes a proof of concept for the idea that a conceptual knowledge on the software to be developed can be acquired through an automated process, with a corpus of textual requirement documents as input and diagrams representing its static (domain model) and dynamic (context use-case model) aspects, as output. An improved domain model is generated by injecting domain-related missing information provided by Expert Comparable Contextual (ECC) models, which are extracted from reusable domain-specific data models. The dynamic view abstracts the main functionalities of the software as a context use-case model. The paper describes the architecture of the Requirements Engineering Assistance Diagnostic (READ) tool implementing our methodology which will guide the developers in their in-depth study of the requirements text and in the timely identification of risks that poorly specified requirements might introduce into the project.","","978-0-7695-3302-5","","10.1109/SERA.2008.34","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4609419","Automated Process;Conceptual Analysis Modeling;Requirements Engineering","Application software;Conference management;Context modeling;Data mining;Data models;Error correction codes;Programming;Quality assessment;Software engineering;Visualization","program diagnostics;program verification;systems analysis;text analysis","ECC models;READ tool;automatic conceptual analysis;conceptual knowledge;context use-case model aspects;expert comparable contextual models;requirements engineering assistance diagnostic tool;textual requirement documents;user requirements","","","","0","","17","","","20080829","","IEEE","","IEEE Conference Publications"
"Type Highlighting: A Client-Driven Visual Approach for Class Hierarchies Reengineering","Mihancea, P.F.","LOOSE Res. Group, Univ. of Timisoara, Timisoara","Source Code Analysis and Manipulation, 2008 Eighth IEEE International Working Conference on","28-29 Sept. 2008","2008","","","207","216","Polymorphism and class hierarchies are key to increasing the extensibility of an object-oriented program but also raise challenges for program comprehension. Despite many advances in understanding and restructuring class hierarchies, there is no direct support to analyze and understand the design decisions that drive their polymorphic usage. In this paper we introduce a metric-based visual approach to capture the extent to which the clients of a hierarchy polymorphically manipulate that hierarchy. A visual pattern vocabulary is also presented in order to facilitate the communication between analysts. Initial evaluation shows that our techniques aid program comprehension by effectively visualizing large quantities of information, and can help detect several design problems.","","978-0-7695-3353-7","","10.1109/SCAM.2008.16","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4637553","class hierarchies;metrics;polymorphism;software visualization;static analysis","Aging;Data analysis;Pattern analysis;Performance analysis;Printing;Reverse engineering;Software maintenance;Software quality;Visualization;Vocabulary","object-oriented programming;polymorphism;program diagnostics;program visualisation;software maintenance","class hierarchy reengineering;client-driven visual approach;object-oriented program;polymorphism;program comprehension;software maintenance;static analysis;visual pattern vocabulary","","","","3","","21","","","20081003","","IEEE","","IEEE Conference Publications"
"Representing and Integrating Dynamic Collaborations in IDEs","Rothlisberger, D.; Greevy, O.","Software Composition Group, Univ. of Bern, Bern","Reverse Engineering, 2008. WCRE '08. 15th Working Conference on","15-18 Oct. 2008","2008","","","74","78","Static views of object-oriented source code as presented in a development environment (IDE) do not provide explicit representations of dynamic collaboration to describe how source artifacts communicate at runtime. Direct access within an IDE to explicit representations of dynamic collaborations would provide developers with useful insights into a system's behavior. In this paper we describe how we seamlessly integrate novel interactive visual representations of dynamic collaborations between static artifacts to complement traditional static concepts within the IDE. We motivate our work and introduce our enhancements in our prototype IDE Hermion and provide validation for our work by means of case studies and benchmarks.","1095-1350","978-0-7695-3429-9","","10.1109/WCRE.2008.53","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4656396","development environments;dynamic analysis;dynamic collaborations;partial behavioral reflection;program comprehension","Collaboration;Collaborative software;Collaborative work;Displays;Navigation;Prototypes;Runtime environment;Software systems;Unified modeling language;Visualization","object-oriented programming;program diagnostics;program visualisation;software engineering","integrated development environment;interactive visual dynamic collaboration representation;object-oriented source code;software developer;static view;system behavior","","","","1","","12","","","20081024","","IEEE","","IEEE Conference Publications"
